Sample	Sentrix_ID	Sentrix_Position	Sample_Plate	Sample_Well	Sample_Group	batch
TBI-AUTO73325-PT-3149	5815381027	R06C01	WG0001328-MSA4	B03	TBI-AUTO73325-PT-3149	0
TBI-AUTO73307-PT-314I	5815381028	R05C02	WG0001340-MSA4	C08	TBI-AUTO73307-PT-314I	1
TBI-AUTO73043-PT-35BD	5822038007	R06C01	WG0001338-MSA4	F01	TBI-AUTO73043-PT-35BD	1
PT-318X	6042324057	R02C02	WG0003259-MSA4	H01	PT-318X	1
TBI-AUTO73279-PT-35NK	5822038007	R06C02	WG0001338-MSA4	D02	TBI-AUTO73279-PT-35NK	1
TBI-AUTO73198-PT-35B6	5822062012	R01C01	WG0001329-MSA4	E08	TBI-AUTO73198-PT-35B6	1
PT-BYE9	5822038006	R04C01	WG0001339-MSA4	H05	PT-BYE9	1
TBI-AUTO73178-PT-35OH	5815381019	R01C02	WG0001328-MSA4	G01	TBI-AUTO73178-PT-35OH	0
PT-M5GW	5822062002	R06C01	WG0001326-MSA4	F07	PT-M5GW	0
TBI-AUTO73066-PT-35OG	5822062001	R03C01	WG0001326-MSA4	G11	TBI-AUTO73066-PT-35OG	0
TBI-AUTO73264-PT-318A	5822062007	R06C02	WG0001329-MSA4	H03	TBI-AUTO73264-PT-318A	1
TBI-AUTO72957-PT-314J	5822038008	R06C01	WG0001338-MSA4	B06	TBI-AUTO72957-PT-314J	1
PT-M5NH	5815381005	R02C01	WG0001327-MSA4	B07	PT-M5NH	0
PT-M5MJ	5815381017	R06C01	WG0001327-MSA4	B09	PT-M5MJ	0
PT-M5GV	5822038011	R01C02	WG0001339-MSA4	G04	PT-M5GV	1
PT-MA3G	5822020009	R06C01	WG0001091-MSA4	B06	PT-MA3G	1
PT-M5VB	5822038012	R04C02	WG0001339-MSA4	F12	PT-M5VB	1
PT-M5H3	5822038002	R04C01	WG0001338-MSA4	D07	PT-M5H3	1
PT-M5NZ	5822038004	R03C01	WG0001338-MSA4	G02	PT-M5NZ	1
PT-M54N	5815381015	R03C02	WG0001328-MSA4	E06	PT-M54N	0
PT-M5UM	5822062005	R03C02	WG0001329-MSA4	A05	PT-M5UM	1
TBI-AUTO73227-PT-2ZVV	5822038002	R03C01	WG0001338-MSA4	C07	TBI-AUTO73227-PT-2ZVV	1
PT-M56O	5822038012	R01C01	WG0001339-MSA4	E11	PT-M56O	1
PT-M5QJ	5822071004	R02C02	WG0001326-MSA4	D09	PT-M5QJ	0
PT-MA3T	5822020004	R01C02	WG0001091-MSA4	G04	PT-MA3T	1
TBI-AUTO73284-PT-35AL	5815381029	R02C02	WG0001328-MSA4	D12	TBI-AUTO73284-PT-35AL	0
PT-F6OJ	5821203016	R03C02	WG0001340-MSA4	E03	PT-F6OJ	1
TBI-AUTO72971-PT-35BO	5815381015	R02C02	WG0001328-MSA4	D06	TBI-AUTO72971-PT-35BO	0
PT-M55J	5822062005	R05C02	WG0001329-MSA4	C05	PT-M55J	1
TBI-AUTO73194-PT-35BR	5822071007	R06C01	WG0001326-MSA4	F01	TBI-AUTO73194-PT-35BR	0
PT-M5RR	5815381023	R02C02	WG0001327-MSA4	H10	PT-M5RR	0
TBI-AUTO73220-PT-2ZVY	5822062002	R02C01	WG0001326-MSA4	B07	TBI-AUTO73220-PT-2ZVY	0
PT-M5NY	5815381023	R01C02	WG0001327-MSA4	G10	PT-M5NY	0
TBI-AUTO73111-PT-2ZVT	5815381018	R03C01	WG0001327-MSA4	G05	TBI-AUTO73111-PT-2ZVT	0
PT-M59Z	5815381015	R01C01	WG0001328-MSA4	E05	PT-M59Z	0
TBI-AUTO73314-PT-2ZVU	5815381019	R05C01	WG0001328-MSA4	E01	TBI-AUTO73314-PT-2ZVU	0
TBI-AUTO73125-PT-35BP	5822062001	R06C02	WG0001326-MSA4	H12	TBI-AUTO73125-PT-35BP	0
PT-M5RI	5822038009	R03C02	WG0001338-MSA4	E09	PT-M5RI	1
SM-1Q3QN-qiaAMP	5772325089	R03C02	WG0001796-MSA4	A02	SM-1Q3QN-qiaAMP	1
PT-M5H7	5822020005	R03C02	WG0001338-MSA4	A11	PT-M5H7	1
PT-M5DD	6042324057	R04C01	WG0003259-MSA4	D01	PT-M5DD	1
PT-M59N	5822071005	R02C01	WG0001326-MSA4	F05	PT-M59N	0
PT-MA3R	5822020001	R01C02	WG0001091-MSA4	C12	PT-MA3R	1
TBI-AUTO73036-PT-2ZVX	5815381006	R06C02	WG0001327-MSA4	D02	TBI-AUTO73036-PT-2ZVX	0
TBI-AUTO73010-PT-35BT	5822038004	R05C01	WG0001338-MSA4	A03	TBI-AUTO73010-PT-35BT	1
SM-1Q3QV-qiaAMP	5772325072	R01C02	WG0001796-MSA4	C03	SM-1Q3QV-qiaAMP	1
PT-MA4A	5822020003	R03C01	WG0001091-MSA4	C10	PT-MA4A	1
TBI-AUTO72982-PT-35BU	5815381002	R03C01	WG0001328-MSA4	C07	TBI-AUTO72982-PT-35BU	0
TBI-AUTO73259-PT-312Q	5822071004	R05C01	WG0001326-MSA4	A09	TBI-AUTO73259-PT-312Q	0
TBI-AUTO73261-PT-35AJ	5822038006	R02C02	WG0001339-MSA4	D06	TBI-AUTO73261-PT-35AJ	1
TBI-AUTO73213-PT-35BV	5815381007	R06C01	WG0001340-MSA4	B06	TBI-AUTO73213-PT-35BV	1
PT-M5EH	5822038002	R01C02	WG0001338-MSA4	G07	PT-M5EH	1
TBI-AUTO73120-PT-2ZVW	5821203011	R01C02	WG0001340-MSA4	G04	TBI-AUTO73120-PT-2ZVW	1
PT-M5D1	5822054008	R01C01	WG0001339-MSA4	A07	PT-M5D1	1
TBI-AUTO73011-PT-35BQ	5822071007	R05C01	WG0001326-MSA4	E01	TBI-AUTO73011-PT-35BQ	0
TBI-AUTO73004-PT-35C3	5822071008	R05C01	WG0001326-MSA4	A03	TBI-AUTO73004-PT-35C3	0
PT-M55Y	5822038004	R04C01	WG0001338-MSA4	H02	PT-M55Y	1
PT-MA3Q	5822020009	R05C02	WG0001091-MSA4	G06	PT-MA3Q	1
TBI-AUTO73312-PT-35C2	5822020007	R04C02	WG0001091-MSA4	F03	TBI-AUTO73312-PT-35C2	1
PT-M55R	5815381030	R01C01	WG0001340-MSA4	E08	PT-M55R	1
TBI-AUTO73136-PT-2ZYI	5822062007	R02C02	WG0001329-MSA4	D03	TBI-AUTO73136-PT-2ZYI	1
TBI-AUTO73085-PT-2ZW7	5822038012	R05C02	WG0001339-MSA4	G12	TBI-AUTO73085-PT-2ZW7	1
TBI-AUTO73162-PT-35BZ	5822062011	R05C02	WG0001329-MSA4	G12	TBI-AUTO73162-PT-35BZ	1
TBI-AUTO73233-PT-2ZW8	5822062006	R05C01	WG0001329-MSA4	E10	TBI-AUTO73233-PT-2ZW8	1
PT-M5DC	5822038007	R05C01	WG0001338-MSA4	E01	PT-M5DC	1
PT-M54O	5815381019	R04C02	WG0001328-MSA4	B02	PT-M54O	0
TBI-AUTO73177-PT-2ZWA	5822062002	R01C02	WG0001326-MSA4	G07	TBI-AUTO73177-PT-2ZWA	0
TBI-AUTO73229-PT-2ZW9	5815381025	R04C02	WG0001328-MSA4	B05	TBI-AUTO73229-PT-2ZW9	0
PT-M5HB	5822038001	R06C02	WG0001339-MSA4	H09	PT-M5HB	1
TBI-AUTO73090-PT-2ZWF	5822071004	R04C01	WG0001326-MSA4	H08	TBI-AUTO73090-PT-2ZWF	0
PT-M5S5	5822038003	R01C02	WG0001339-MSA4	G10	PT-M5S5	1
PT-M59I	5822062005	R02C02	WG0001329-MSA4	H04	PT-M59I	1
TBI-AUTO73189-PT-2ZWE	5822062004	R03C01	WG0001329-MSA4	G05	TBI-AUTO73189-PT-2ZWE	1
TBI-AUTO73121-PT-2ZWD	5821203010	R02C01	WG0001340-MSA4	B01	TBI-AUTO73121-PT-2ZWD	1
PT-M59O	5822020002	R02C02	WG0001338-MSA4	D12	PT-M59O	1
TBI-AUTO73222-PT-2ZWB	5822038011	R03C01	WG0001339-MSA4	C04	TBI-AUTO73222-PT-2ZWB	1
TBI-AUTO73079-PT-2ZVZ	5822038002	R04C02	WG0001338-MSA4	B08	TBI-AUTO73079-PT-2ZVZ	1
PT-M55K	5822062008	R02C01	WG0001329-MSA4	B01	PT-M55K	1
TBI-AUTO72968-PT-35C7	5822054001	R05C02	WG0001339-MSA4	C02	TBI-AUTO72968-PT-35C7	1
PT-M5GL	5822062002	R02C02	WG0001326-MSA4	H07	PT-M5GL	0
PT-M5E9	5822062004	R05C02	WG0001329-MSA4	G06	PT-M5E9	1
TBI-AUTO73030-PT-2ZW1	5815381026	R04C01	WG0001327-MSA4	H02	TBI-AUTO73030-PT-2ZW1	0
TBI-AUTO73165-PT-2ZY7	5815381025	R05C02	WG0001328-MSA4	C05	TBI-AUTO73165-PT-2ZY7	0
TBI-AUTO73186-PT-35C6	5822054001	R05C01	WG0001339-MSA4	E01	TBI-AUTO73186-PT-35C6	1
PT-M59L	5822062009	R05C02	WG0001329-MSA4	C08	PT-M59L	1
PT-M5RD	5815381023	R05C01	WG0001327-MSA4	E10	PT-M5RD	0
PT-MA3M	5822020004	R04C02	WG0001091-MSA4	B05	PT-MA3M	1
PT-M5GQ	5822071005	R04C02	WG0001326-MSA4	F06	PT-M5GQ	0
TBI-AUTO73109-PT-2ZWI	5815381019	R02C02	WG0001328-MSA4	H01	TBI-AUTO73109-PT-2ZWI	0
TBI-AUTO73188-PT-35C8	5822062011	R04C02	WG0001329-MSA4	F12	TBI-AUTO73188-PT-35C8	1
PT-MA49	5822020006	R06C02	WG0001091-MSA4	H09	PT-MA49	1
PT-M5RN	5821203010	R02C02	WG0001340-MSA4	H01	PT-M5RN	1
TBI-AUTO73069-PT-35C5	5822038011	R05C02	WG0001339-MSA4	C05	TBI-AUTO73069-PT-35C5	1
TBI-AUTO73032-PT-2ZW3	5821203016	R01C02	WG0001340-MSA4	C03	TBI-AUTO73032-PT-2ZW3	1
TBI-AUTO72977-PT-312S	5815381018	R05C02	WG0001327-MSA4	G06	TBI-AUTO72977-PT-312S	0
